RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
3250,San Bernardino,California,11,269300,254600,240900,232500,2.22E+05,2.13E+05,198700,191800,183300,176700,166800,158300,151400,141800,135600,132800,132900,134700,135600,139700,143700,147600,1.49E+05,149500,148500,148100,147700,150100,150900,152500,151100,1.51E+05,149900,149900,151100,151900,151600,148100,145100,1.44E+05,145800,147900,147700,147600,147700,146400,146500,144600,146500,146400,149300,152900,156700,160400,161400,163400,168500,173200,176900,175300,178800,182200,189600,194700,197500,201100,205500,215900,216400,219900,218200,223700,223100,225500,226900,230700,2.31E+05,231100,2.26E+05,230200,2.33E+05,239900,2.40E+05,241700,245600,247700,247400,247300,250500,257100,255100,253200,252500,257300,259900,261700,264600,265500,266200,265400,269100,268500,272900,274200,280500,282300,284400,287200,291900,296500,3.00E+05,305800,306500,305800,302500,3.07E+05,308800,306500,305400,3.08E+05
445,Clark,Nevada,12,245700,240100,234500,229100,219900,209100,195700,188300,178700,170600,161600,154100,147400,1.37E+05,130300,126400,125100,122200,120100,121900,124100,125100,1.25E+05,123900,123900,1.25E+05,1.28E+05,130900,128500,126700,122800,122900,121700,1.20E+05,118400,116700,114700,113100,112100,112800,111100,108300,106100,107700,110100,110700,110300,108900,110600,112700,116100,120600,122700,1.25E+05,125200,129300,133400,137100,139100,140500,1.44E+05,148200,153100,159400,162600,1.65E+05,163900,165600,167400,169500,170400,171300,173300,174700,175900,170300,169900,172800,180500,183400,183200,184200,184900,189400,189300,191200,189100,190800,1.93E+05,194600,195800,194800,1.96E+05,197500,200900,203600,204200,203400,204200,2.06E+05,207100,205900,205800,208100,212100,212900,215100,214900,219100,2.20E+05,224500,233400,240100,244900,245700,2.46E+05,243900,242500,245500,249700
207,King,Washington,13,393100,390800,385900,379900,368800,367200,364200,362500,356400,3.59E+05,363800,363100,354300,342900,337500,334600,333200,335700,339400,342400,341100,348600,362800,371600,368600,354500,346200,342100,353800,361300,367600,359100,3.58E+05,358700,3.63E+05,361600,351500,342300,332900,327400,321800,322700,326900,320600,3.18E+05,317200,330600,329600,331500,3.35E+05,341600,347200,344500,349200,352100,357500,366400,368900,368900,367600,370400,374300,3.78E+05,3.77E+05,381900,383300,388700,387500,385400,382700,385200,386800,386700,382200,381300,384900,392900,3.93E+05,395100,393900,397300,396800,397300,401300,403700,411600,412100,4.15E+05,408800,414500,414800,420600,421200,431400,436600,438700,439800,4.43E+05,4.48E+05,452100,451800,453100,452700,458800,467500,472700,479700,478500,486600,498800,516500,528700,5.38E+05,543600,547300,550100,553900,563200,568300,573100
3136,Santa Clara,California,14,666900,642200,621800,6.09E+05,598800,585300,562900,5.33E+05,495300,4.71E+05,455800,444900,420300,403300,398800,412600,439700,464300,478200,4.85E+05,492700,507800,511300,505900,502600,498200,503600,507300,517300,524700,5.30E+05,531100,528200,520300,511500,492900,483500,479100,488400,501400,504100,512900,5.09E+05,503300,494200,490900,492800,484600,483400,492500,5.14E+05,536700,558900,583200,5.95E+05,6.05E+05,604700,612600,623300,628800,631200,633900,644800,652800,656400,660700,665200,668500,6.69E+05,671500,682500,6.91E+05,701300,704900,708900,712600,708400,7.19E+05,724600,737900,7.41E+05,749800,751100,760700,764900,773800,781900,792900,805900,825100,828400,833900,827500,8.41E+05,842500,847900,844800,851900,853500,852500,8.55E+05,854800,862400,869200,879400,8.83E+05,884200,893200,906100,911200,913100,923900,935500,956500,980400,1020300,1047500,1097800,1116800,1163800
1561,Broward,Florida,15,233600,221300,213700,206500,204900,204600,193500,188100,175900,1.71E+05,160300,151600,142300,133500,123800,116300,114200,115900,117700,118800,123200,127400,124600,118700,116400,114100,115400,113200,114700,113200,111200,110800,1.13E+05,114100,110300,1.05E+05,101600,1.01E+05,99800,102800,105700,107500,106400,107300,1.11E+05,114500,118500,1.18E+05,118400,116700,118100,119500,120800,122500,123800,127500,129500,136600,139600,144300,141700,143500,1.44E+05,1.47E+05,149400,152600,156300,159300,1.61E+05,161900,162800,162800,1.64E+05,1.62E+05,1.62E+05,162600,165900,167400,169100,170300,174800,178800,180200,180900,181700,186800,189700,192800,194100,197100,194500,193400,1.90E+05,193100,197600,202800,208200,209600,213200,213300,2.13E+05,211500,214200,217800,220700,220100,220600,221800,225600,2.29E+05,226800,225500,222400,228400,,,,,,
386,Bexar,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168700,168600,168600,169700,1.70E+05,171500,172100,175200,174600,175800,1.75E+05,176900,178200,179100,179200,178400,179700,178800,180400,179700,179100,179800,181800,183500,182600,182200,183600,185200,184800,185100,183900,183200,183200,181700,181700,181900,185200,1.87E+05,188200,191600,195300,201400,204200,205500,
2452,New York,New York,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803400,800400,804100,813200,8.44E+05,859200,853700,820400,818900,836300,843500,810800,777700,745900,778900,791400,826900,840200,863400,868400,848300,864600,857500,8.72E+05,831700,830200,802400,821500,831500,842800,835300,832200,835500,848800,855500,843800,854200,873800,913900,905100,8.92E+05,897800,908400,915100,913200,900200,892500,884500,892500,908600,954800,968800,972200,954900,968500,969900,984200,995800,1074800,1091700,1119300,1055800,1141800,1179400,1188600,1.10E+06,1091600,1099200,1095700,1051100,1044200,1034100,991700,964300,964600,1001800,1035400,1063500,1104900,1105700,1049800,1007700,965500,938100,949200,1002900,1040500
3175,Philadelphia,Pennsylvania,18,109200,109500,109900,110200,108700,112200,113900,114500,112400,109600,107300,101800,9.90E+04,106900,109600,114300,109100,116200,120500,123500,128200,126900,124900,115100,114300,116900,119700,119900,115500,106900,104300,99800,108200,103400,107200,105300,107200,109400,107700,110900,106100,107600,105700,105400,101500,102600,103600,102600,98500,100300,105300,107100,107800,1.10E+05,1.11E+05,108200,108200,111400,115500,113600,108500,108100,108600,113800,115900,117300,116800,117700,117800,120700,122100,124800,126300,125500,125700,124100,121200,120800,118300,120700,119200,1.21E+05,121700,1.17E+05,117800,119300,123400,126900,126200,126800,126800,128500,129400,123900,127900,126100,126300,120300,122100,123600,125300,125700,129700,126700,129200,129500,133100,136500,136200,140100,139900,144100,142900,144700,145400,146800,150500,151300,153400,
1510,Alameda,California,19,537800,514700,471500,442200,4.33E+05,422900,408700,386800,366900,352700,341200,338500,321300,3.13E+05,3.05E+05,315800,324500,330300,347600,363700,376900,378400,377300,382200,382800,376600,379200,378300,3.85E+05,378500,3.79E+05,378100,378400,3.73E+05,361700,360700,357400,354200,342600,335200,338800,338500,344600,343500,346700,344400,343200,345500,339900,341300,336200,350400,367900,3.87E+05,397200,401400,408800,418100,429700,435600,443400,449500,459100,470900,485700,4.95E+05,505100,510600,515900,517200,520800,530700,535200,5.39E+05,537900,542100,547600,562700,564400,562500,5.60E+05,563800,572200,577800,603100,620900,6.26E+05,613700,608400,613100,619700,626100,628600,643900,653600,677300,669600,668700,654900,656600,653200,650900,6.55E+05,661300,679700,6.85E+05,703900,729300,753600,755500,723300,716800,714100,724600,724800,739200,751300,766500,782600,
2801,Middlesex,Massachusetts,20,370700,358100,351100,350600,347400,350500,348400,345500,333700,329900,335500,3.51E+05,345200,339700,3.28E+05,333700,335300,3.36E+05,340700,3.36E+05,334100,3.42E+05,356900,3.68E+05,362100,3.57E+05,352300,355500,3.59E+05,369400,375300,368700,359200,3.52E+05,359900,366200,3.59E+05,347500,341700,351100,355300,357900,3.60E+05,3.56E+05,351100,3.40E+05,351100,358300,364700,361800,361600,367700,366700,366700,3.65E+05,365700,363900,360300,366900,372200,3.77E+05,377400,377500,380300,378400,383900,386600,391900,389100,388200,394400,3.96E+05,398400,393800,400400,401200,403200,3.98E+05,399100,399200,401200,401700,4.14E+05,421900,424800,414200,412200,411400,414200,412900,412600,413700,414400,419300,422800,427700,427400,430100,430300,435200,436900,439200,439100,430300,432500,434700,444600,448200,456900,465600,469300,4.62E+05,455300,458200,464700,467800,464200,469900,482900,
